id,sourceLang,targetLang,sourceString,targetString
1,en,ro-RO,1918 flu,gripa din 1918
2,en,ro-RO,acute bronchitis,bronșită acută
3,en,ro-RO,acute respiratory disease,boală acută a aparatului respirator
4,en,ro-RO,AIDS,SIDA
5,en,ro-RO,airborne droplets,picături purtate de aer
6,en,ro-RO,airway,cale respiratorie
7,en,ro-RO,alcohol-based,pe bază de alcool
8,en,ro-RO,alcohol-based hand rub,soluție dezinfectantă pe bază de alcool
9,en,ro-RO,alcohol-based hand sanitizer,dezinfectant de mâini pe bază de alcool
10,en,ro-RO,alveolar disease,boală alveolară
11,en,ro-RO,an epidemic,epidemie
12,en,ro-RO,annual flu,gripă sezonieră
13,en,ro-RO,anti-inflammatory drug,medicament antiinflamator
14,en,ro-RO,antiviral drug,medicament antiviral
15,en,ro-RO,antiviral treatment,tratament antiviral
16,en,ro-RO,assay,prelevarea unei probe
17,en,ro-RO,asymptomatic,asimptomatic
18,en,ro-RO,avian flu,gripă aviară
19,en,ro-RO,Black Plague,ciumă neagră
20,en,ro-RO,blood pressure,tensiune arterială
21,en,ro-RO,body fluid,fluid biologic
22,en,ro-RO,breathing,respirație
23,en,ro-RO,bubonic plague,ciumă bubonică
24,en,ro-RO,c19,c19
25,en,ro-RO,cv19,cv19
26,en,ro-RO,case fatality rate,rată de fatalitate a cazurilor
27,en,ro-RO,causative agent,agent patogen
28,en,ro-RO,CDC,CDC
29,en,ro-RO,chemical disinfection,dezinfectare chimică
30,en,ro-RO,chest x-ray,radiografie toracică
31,en,ro-RO,clinical diagnosis,diagnostic clinic
32,en,ro-RO,clinical trial,studiu clinic
33,en,ro-RO,close contact,contact apropiat
34,en,ro-RO,cvirus,cvirus
35,en,ro-RO,chronic respiratory disease,boală cronică a aparatului respirator
36,en,ro-RO,common cold,răceală comună
37,en,ro-RO,common flu,gripă comună
38,en,ro-RO,communicable disease,boală transmisibilă
39,en,ro-RO,community spread,răspândire comunitară
40,en,ro-RO,community transmission,transmitere comunitară
41,en,ro-RO,compromised immune system,sistem imunitar compromis
42,en,ro-RO,contagion,contaminare
43,en,ro-RO,contagious,contagios
44,en,ro-RO,contagiousness,contagiozitate
45,en,ro-RO,corona,corona
46,en,ro-RO,corona virus,coronavirus
47,en,ro-RO,corona virus epidemic,epidemie de coronavirus
48,en,ro-RO,corona virus outbreak,focar de coronavirus
49,en,ro-RO,corona virus scare,teamă de coronavirus
50,en,ro-RO,coronavirus,coronavirus
51,en,ro-RO,coronavirus cases,cazuri de coronavirus
52,en,ro-RO,coronavirus outbreak,focar de coronavirus
53,en,ro-RO,coronavirus pandemic,pandemie de coronavirus
54,en,ro-RO,coronavirus scare,teamă de coronavirus
55,en,ro-RO,cough,tuse
56,en,ro-RO,cough etiquette,etichetă în caz de tuse
57,en,ro-RO,coughing,tuse
58,en,ro-RO,cov 19,cov 19
59,en,ro-RO,cov19,cov19
60,en,ro-RO,COVID,COVID
61,en,ro-RO,COVID-19 crisis,criză COVID-19
62,en,ro-RO,covid-19,covid-19
63,en,ro-RO,covid19,covid19
64,en,ro-RO,COVID-19 epidemic,epidemie de COVID-19
65,en,ro-RO,COVID-19 outbreak,focar de COVID-19
66,en,ro-RO,COVID-19 pandemic,pandemie de COVID-19
67,en,ro-RO,COVID 19,COVID 19
68,en,ro-RO,current crisis,criză actuală
69,en,ro-RO,current health crisis,criză medicală actuală
70,en,ro-RO,current outbreak,epidemie actuală
71,en,ro-RO,current pandemic,pandemie actuală
72,en,ro-RO,CV,CV
73,en,ro-RO,CV-19,CV-19
74,en,ro-RO,deadly,letal
75,en,ro-RO,deadly virus,virus letal
76,en,ro-RO,death rate,rata mortalității
77,en,ro-RO,death toll,numărul deceselor
78,en,ro-RO,decontaminate,decontaminare
79,en,ro-RO,detectable,detectabil
80,en,ro-RO,detergent,detergent
81,en,ro-RO,difficulty breathing,dificultăți de respirație
