id,sourceLang,targetLang,sourceString,targetString
1,en,mg-MG,1918 flu,Gripa 1918
2,en,mg-MG,acute bronchitis,areti-tratra mahery vaika
3,en,mg-MG,acute respiratory disease,fahasemporana mahery vaika
4,en,mg-MG,AIDS,SIDA
5,en,mg-MG,airborne droplets,piti-drora eny amin'ny rivotra
6,en,mg-MG,airway,lalan-drivotra
7,en,mg-MG,alcohol-based,vita amin'ny alikaola
8,en,mg-MG,alcohol-based hand rub,fikosehan-tanana vita amin'ny alikaola
9,en,mg-MG,alcohol-based hand sanitizer,fanadiovana tanana vita amin'ny alikaola
10,en,mg-MG,alveolar disease,aretina mifindra amin'ny alalan'ny rivotra
11,en,mg-MG,an epidemic,areti-mifindra
12,en,mg-MG,annual flu,gripa isan-taona
13,en,mg-MG,anti-inflammatory drug,fanafody manohitra ny fitaran'ny aretina
14,en,mg-MG,antiviral drug,fanafody mamono ny tsimokaretina
15,en,mg-MG,antiviral treatment,fitsaboana mamono ny tsimokaretina
16,en,mg-MG,assay,fitsirihina
17,en,mg-MG,asymptomatic,tsy ahitana famantarana
18,en,mg-MG,avian flu,gripa mifindra amin'ny alalan'ny rivotra
19,en,mg-MG,Black Plague,Pesta mainty
20,en,mg-MG,blood pressure,tosi-drà
21,en,mg-MG,body fluid,tsiranoka avy amin'ny vatan'olom-belona
22,en,mg-MG,breathing,mifoka rivotra
23,en,mg-MG,bubonic plague,pesta
24,en,mg-MG,c19,c19
25,en,mg-MG,cv19,cv19
26,en,mg-MG,case fatality rate,taham-pahafatesan'ny olona marary
27,en,mg-MG,causative agent,mpitondra aretina
28,en,mg-MG,CDC,CDC
29,en,mg-MG,chemical disinfection,fanafody simika famonoana mikraoba
30,en,mg-MG,chest x-ray,radio fitiliana ny tratra
31,en,mg-MG,clinical diagnosis,fitiliana klinika
32,en,mg-MG,clinical trial,fitsapana klinika
33,en,mg-MG,close contact,fifaneraserana akaiky
34,en,mg-MG,cvirus,tsimokaretina
35,en,mg-MG,chronic respiratory disease,areti-tratra mitaiza
36,en,mg-MG,common cold,sery tsotra
37,en,mg-MG,common flu,gripa tsotra
38,en,mg-MG,communicable disease,aretina azo amin'ny fifaneraserana
39,en,mg-MG,community spread,fiparitahana eo amin'ny fiaraha-monina
40,en,mg-MG,community transmission,fifindrany eo amin'ny fiaraha-monina
41,en,mg-MG,compromised immune system,hery fiarovana malemy
42,en,mg-MG,contagion,fifindran'ny aretina
43,en,mg-MG,contagious,mifindra
44,en,mg-MG,contagiousness,tahan'ny fifindrany
45,en,mg-MG,corona,corona
46,en,mg-MG,corona virus,tsimokaretina corona
47,en,mg-MG,corona virus epidemic,fiparitahan'ny tsimokaretina corona
48,en,mg-MG,corona virus outbreak,valan'aretina corona
49,en,mg-MG,corona virus scare,horohoro noho ny tsimokaretina corona
50,en,mg-MG,coronavirus,coronavirus
51,en,mg-MG,coronavirus cases,voan'ny coronavirus
52,en,mg-MG,coronavirus outbreak,valan'aretina coronavirus
53,en,mg-MG,coronavirus pandemic,valan'aretina miparitaka coronavirus
54,en,mg-MG,coronavirus scare,horohoro noho ny coronavirus
55,en,mg-MG,cough,kohoka
56,en,mg-MG,cough etiquette,falalam-pomba rehefa mikohoka
57,en,mg-MG,coughing,kohoka
58,en,mg-MG,cov 19,cov 19
59,en,mg-MG,cov19,cov19
60,en,mg-MG,COVID,COVID
61,en,mg-MG,COVID-19 crisis,Krizy ateraky ny COVID-19
62,en,mg-MG,covid-19,covid-19
63,en,mg-MG,covid19,covid19
64,en,mg-MG,COVID-19 epidemic,Areti-mifindra COVID-19
65,en,mg-MG,COVID-19 outbreak,Valan'aretina COVID-19
66,en,mg-MG,COVID-19 pandemic,Valan'aretina miparitaka COVID-19
67,en,mg-MG,COVID 19,COVID 19
68,en,mg-MG,current crisis,krizy amin'izao fotoana izao
69,en,mg-MG,current health crisis,olana ara-pahasalamana amin'izao fotoana izao
